,DATA INFRASTRUKTUR DAERAH IRIGASI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama DI,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,III. LOKASI,, IV. MANFAAT ,,,,, V. DATA TEKNIS ,, V. DATA TEKNIS ,,,,,,,,, V. DATA TEKNIS ,,,V.1 WADUK,,,,V.2 BENDUNG,,,V.2 BENDUNG,,,,,,,V.3 PENGAMBILAN BEBAS,,,,V.4 SALURAN DI AREAL POTENSIAL,,,,,,V.4 SALURAN DI AREAL POTENSIAL,,,,V.5 BANGUNAN PADA SALURAN PEMBAWA DI AREAL POTENSIAL,,,,V.5 BANGUNAN PADA SALURAN PEMBAWA DI AREAL POTENSIAL,,,,Koordinat,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten,Kecamatan,Kelurahan, Irigasi (Ha) ,DMI (m3 / detik),PLTA (MWH),Ternak (Ekor),Lain - Lain,Jenis,Kewenangan,Jumlah Desa,Rencana Debit (ltr/dtk),Realisasi Debit (ltr/dtk),Tingkat Jaringan***,Luas Rencana (ha),Sudah Sawah (alih fungsi) (ha),Belum sawah (ha),Panjang Jalan Inspeksi (m),Kondisi Jalan Inspeksi*,Jumlah P3A,Jumlah Anggota P3A,Status P3A**,Jumlah Waduk,Kondisi Waduk *,Jml Pintu Waduk,Kondisi Pintu Waduk,Jml Bendung Tetap,Kondisi Bendung Ttp*,Jumlah Pintu Bendung ttp,Kondisi Pintu Bendung ttp*,Jml Bendung gerak,Kondisi Bendung gerak*,Jml Pompa Bendung gerak,Kondisi Pompa Bendung gerak*,Jml Pintu Pompa Bendung gerak,Kondisi Pintu Pompa Bendung gerak*,Jml Pengambilan Bebas,Kondisi Pengambilan Bebas*,Jml Pintu Pengambilan Bebas,Kondisi Pintu Pengambilan Bebas*,Panjang Saluran induk (Km),Kondisi Saluran induk*,Panjang Saluran Sekunder,Kondisi Saluran Sekunder*,Panjang Saluran Pembuang,Kondisi Saluran Pembuang*,Panjang Saluran Suplesi (Km),Kondisi Saluran Suplesi*,Panjang Saluran Gendong (Km),Kondisi Saluran Gendong*,Jumlah Bangunan Bagi,Kondisi Bangunan Bagi*,Jumlah Bangunan Sadap,Kondisi Bangunan Sadap*,Jumlah Bangunan Bagi-Sadap,Kondisi Bangunan Bagi-Sadap*,Jumlah Bangunan Pengatur,Kondisi Bangunan Pengatur*,S°,E°,,,,,,,Koordinat,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,°,',"""",°,',"""",,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,,,,,,,,
1,DIT Watubangga Wolulu,Towari-Lasusua,Das Wululu,1,10,740400002,Kolaka,Watubangga,Watubangga,,-,x,x,x,DI Tambak,Pusat,6,-,-,Teknis,"5,536",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,121.518156,-4.459328,121,31,5.36,4,27,33.58,121.5181556,4.459327778
2,DIT Tamboli / Samaturu,Lasolo-Konaweha,Das Tamboli,1,10,740400003,Kolaka,Samaturu,"Wawo, Tamboli, Awa",,-,x,x,x,DI Tambak,Pusat,7,-,-,Teknis,"3,100",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,11,Baik,,,,,121.341844,-3.963969,121,20,30.64,3,57,50.29,121.3418444,3.963969444
3,DIT Tinanggea,Towari-Lasusua,Das Kaku,1,10,740500002,Konawe Selatan,Tinanggea,"Tinanggea, Lapulu, Akuni",,-,x,x,x,DI Tambak,Pusat,8,-,-,Teknis,"3,000",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,122.191667,-4.488964,122,11,30,4,29,20.27,122.1916667,4.488963889
4,DIT Poleang,Poleang-Roraya,Das Poleang,1,10,740600001,Bombana,Poleang Timur,"Loea, Tusui, Teppoe",,-,x,x,x,DI Tambak,Pusat,3,-,-,Teknis,"3,000",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,121.754222,-4.822944,121,45,15.2,4,49,22.6,121.7542222,4.822944444
5,DIT Paku Jaya II,Lasolo-Konaweha,Das Motui,1,10,740300002,Konawe,Bondoala,"Laosu Jaya, Tondowatu",179,-,x,x,x,DI Tambak,Pusat,20,-,-,Teknis,"3,600",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,122.441706,-3.872819,122,26,30.14,3,52,22.15,122.4417056,3.872819444
6,DIT Labokeo,Towari-Lasusua,DAS Lababau,1,10,740500001,Konawe Selatan,Laeya,"Labokeo, Soni, Watumeeto",,-,x,x,x,DI Tambak,Pusat,6,-,-,Teknis,"3,000",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,122.514625,-4.416642,122,30,52.65,4,24,59.91,122.514625,4.416641667
7,DIR Tinondo,Towari-Lasusua,Das Sabilambo,1,10,741100002,Kolaka Timur,Lalolae,Lalolae,656,-,x,x,x,DI Rawa,Pusat,10,-,-,Teknis,"5,267",,,,,-,-,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,,,,,,,,,-,-,,,,,,,,,121.785317,-4.005164,121,47,7.14,4,0,18.59,121.7853167,4.005163889
8,DIR Tanea,Poleang-Roraya,Das Wanggu,1,10,740500001,Konawe Selatan,Tanea,"Lebo Jaya, Lalowiu",151,-,x,x,x,DI Rawa,Pusat,18,-,-,Teknis,"3,149",-,1739,5.4,Rusak Ringan,-,-,Pasif,x,x,x,x,1,Rusak Berat,-,Rusak Berat,x,x,x,x,x,x,x,x,x,x,-,-,-,-,57.12,Rusak Ringan,-,-,-,-,-,-,5,Rusak Ringan,15,Baik,8,Baik,122.494617,-4.086489,122,29,40.62,4,5,11.36,122.4946167,4.086488889
9,DIR Bambaeya,Poleang-Roraya,Das Bambae,1,10,740600003,Bombana,Poleang Timur,"Bombaea, Teppoe","3,100",-,x,x,x,DI Rawa,Pusat,6,-,-,Teknis,"3,100",-,-,-,Rusak Ringan,-,-,Pasif,x,x,x,x,-,-,-,-,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121.784884,-4.811506,121,30,35.52,4,50,48.72,121.5098667,4.846866667
10,DI Wundulako,Towari-Lasusua,Das Wundulako,1,10,740400001,Kolaka,Wundulako,Silea,"2,032",-,x,x,x,DI permukaan,Pusat,14,4120,3260,Teknis,"3,600",1298,298,26.4,baik,13,-,Tdk Berkembang,x,x,x,x,2,Baik,5,Baik,x,x,x,x,x,x,x,x,x,x,0.86,Baik,25.608,RR,-,-,1.3,Baik,-,-,3,Baik,12,Baik,15,Rusak Ringan,-,-,121.700167,-4.127194,121,42,0.6,4,7,37.9,121.7001667,4.127194444
11,DI Walay,Lasolo-Konaweha,Das Lasolo,1,10,740300003,Konawe,Tongauna,Walay,"2,745",-,x,x,x,DI permukaan,Pusat,12,-,3735,Teknis,"3,050",-,940,24.6,Rusak Ringan,29,-,Tdk Berkembang,x,x,x,x,2,Baik,3,Rusak Ringan,x,x,x,x,x,x,x,x,x,x,4.145,Baik,37.43,RS,33.25,RS,-,-,-,-,1,Baik,33,Rusak Ringan,10,Rusak Ringan,4,Baik,121.961161,-3.770906,121,57,40.18,3,46,15.26,121.9611611,3.770905556
12,DI Poleang,Poleang-Roraya,Das Poleang,1,10,740600002,Bombana,Poleang Utara,Tampabulu,"1,937",-,x,x,x,DI permukaan,Pusat,7,-,3038,Teknis,"3,100",1163,107,-,Rusak Ringan,21,-,Tdk Berkembang,x,x,x,x,1,Baik,1,Baik,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,9,Rusak Ringan,4,Rusak Ringan,-,-,121.707056,-4.727806,121,42,25.4,4,43,40.1,121.7070556,4.727805556
13,DI Mowila,Lasolo-Konaweha,Das Konaweha,1,10,740500001,Konawe Selatan,Mowila,Posingi,679,-,x,x,x,DI permukaan,Pusat,7,-,2468,Teknis,"5,056",-,1112,6.79,Rusak Ringan,10,-,Tdk Berkembang,x,x,x,x,5,Baik,4,Baik,x,x,x,x,x,x,x,x,x,x,1.06,Baik,12.57,Baik,-,-,-,-,-,-,-,Baik,16,Baik,5,Baik,-,-,121.251194,-4.11675,121,15,4.3,4,7,0.3,121.2511944,4.11675
14,DI Ladongi,Lasolo-Konaweha,Das Konaweha,1,10,741100001,Kolaka Timur,Ladongi,Atula,"3,400",-,x,x,x,DI permukaan,Pusat,7,-,2417,Teknis,"3,625",-,225,-,Rusak Ringan,6,-,Tdk Berkembang,x,x,x,x,1,Baik,1,Baik,x,x,x,x,x,x,x,x,x,x,2.195,Baik,24.95,Baik,-,-,-,-,-,-,2,Baik,8,Rusak Ringan,25,Baik,1,Baik,121.892528,-4.148111,121,53,33.1,4,8,53.2,121.8925278,4.148111111
15,DI Aporo Lambadia,Lasolo-Konaweha,Das Konaweha,1,10,740500004,Konawe Selatan / Kolaka Timur,Angata / Lambandia,Penanggo Jaya / Inotu,"1,800",-,x,x,x,DI permukaan,Pusat,6,-,4057,Teknis,"5,610",-,-,16.134,Rusak Ringan,32,-,Tdk Berkembang,x,x,x,x,2,Baik,8,Baik,x,x,x,x,x,x,x,x,x,x,0.5,Baik,16.057,RS,18.87,RR,5.17,Baik,-,-,-,Baik,6,Baik,29,Baik,1,Baik,122.059528,-4.341528,122,3,34.3,4,20,29.5,122.0595278,4.341527778
16,DI Wawotobi Ameroro,Lasolo-Konaweha,Das Konaweha,1,10,740300001,Konawe,Unaaha / Uepai,Rahbangga / Tamesandi,"14,203",-,x,x,x,DI permukaan,Pusat,100,-,22264,Teknis,"20,485",2081,5023,154.2,baik,148,-,Tdk Berkembang,x,x,x,x,2,Baik,3,Baik,x,x,x,x,x,x,x,x,x,x,14.38,Baik,181.549,Baik,133.08,RR,-,-,-,-,14,Baik,130,Baik,35,Baik,8,Baik,122.019822,-3.876225,122,1,11.36,3,52,34.41,122.0198222,3.876225
